name,given_name,surname,pseudonym,country,sex,victims_proven,victims_suspected,years_active,active_from,active_to,country_lat,country_long
Ernst Karl,Ernst,Karl,,Austria,male,3.0,,1968–1974,1968.0,1974.0,47.516231,14.550072
Ernst-Dieter Beck,Ernst-Dieter,Beck,,Germany,male,3.0,,1961–1968,1961.0,1968.0,51.165691,10.451526
Erwin Hagedorn,Erwin,Hagedorn,,Germany,male,3.0,,1969–1971,1969.0,1971.0,51.165691,10.451526
Erzsébet Báthory,Erzsébet,Báthory,Blutgräfin,Hungary,female,80.0,650,1590–1610,1590.0,1610.0,47.162494,19.5033041
Eugen Weidmann,Eugen,Weidmann,,France,male,6.0,,1937,1937.0,1937.0,46.227638,2.213749
Eugene Butler (Serienmörder),Eugene,Butler (Serienmörder),,United States,male,6.0,,1900–1906,1900.0,1906.0,37.09024,-95.712891
Eugene Victor Britt,Eugene,Victor Britt,,United States,male,3.0,11,1995,1995.0,1995.0,37.09024,-95.712891
Eusebius Pieydagnelle,Eusebius,Pieydagnelle,,Italy,male,6.0,,1878,1878.0,1878.0,41.87194,12.56738
Ferdinand Gamper,Ferdinand,Gamper,Serienkiller von Meran,Italy,male,6.0,,1996,1996.0,1996.0,41.87194,12.56738
Francis Heaulme,Francis,Heaulme,Criminal Backpacker,France,male,7.0,,1984–1989,1984.0,1989.0,46.227638,2.213749
Francisca Ballesteros,Francisca,Ballesteros,The Poisoner of Melilla,Spain,female,3.0,,1990–2004,1990.0,2004.0,40.46366700000001,-3.74922
Francisco Acevedo,Francisco,Acevedo,,United States,male,3.0,,1989–1996,1989.0,1996.0,37.09024,-95.712891
Francisco Das Chagas Rodrigues de Brito,Francisco,Das Chagas Rodrigues de Brito,,Brazil,male,30.0,42,1989–2003,1989.0,2003.0,-14.235004,-51.92528
Francisco de Assis Pereira,Francisco,de Assis Pereira,Maníaco do Parque,Brazil,male,9.0,10,?–1998,,1998.0,-14.235004,-51.92528
Francisko del Junco,Francisko,del Junco,,United States,male,4.0,,1995–1996,1995.0,1996.0,37.09024,-95.712891
Frank Gust,Frank,Gust,Rhein-Ruhr-Ripper,Germany,male,4.0,,1994–1998,1994.0,1998.0,51.165691,10.451526
Franklin DeWayne Alix,Franklin,DeWayne Alix,,United States,male,4.0,,1997–1998,1997.0,1998.0,37.09024,-95.712891
Franz Josef Ludy,Franz,Josef Ludy,,Germany,male,4.0,,1950–1968,1950.0,1968.0,51.165691,10.451526
Franz Stockreiter,Franz,Stockreiter,,Austria,male,3.0,,1974–1995,1974.0,1995.0,47.516231,14.550072
Frederick Mors,Frederick,Mors,,United States,male,8.0,,1914–1915,1914.0,1915.0,37.09024,-95.712891
Friedrich Haarmann,Friedrich,Haarmann,"Werwolf von Hannover, Vampir von Hannover, Schlächter von Hannover",Germany,male,24.0,27,1918–1924,1918.0,1924.0,51.165691,10.451526
Friedrich Schumann,Friedrich,Schumann,,Germany,male,6.0,11,1911–1921,1911.0,1921.0,51.165691,10.451526
Fritz Honka,Fritz,Honka,,Germany,male,4.0,,1970–1975,1970.0,1975.0,51.165691,10.451526
G'dongalay Parlo Berry,G'dongalay,Parlo Berry,,United States,male,3.0,,1995–1996,1995.0,1996.0,37.09024,-95.712891
Gail Savage,Gail,Savage,,United States,female,3.0,,1990–1993,1990.0,1993.0,37.09024,-95.712891
Gao Chengyong,Gao,Chengyong,,China,male,,at least 11,1988–2002,1988.0,2002.0,35.86166,104.195397
Gary Alan Walker,Gary,Alan Walker,,United States,male,6.0,,1984,1984.0,1984.0,37.09024,-95.712891
Gary Leon Ridgway,Gary,Leon Ridgway,Green River Killer,United States,male,49.0,71,1982–1998,1982.0,1998.0,37.09024,-95.712891
Gary Michael Heidnik,Gary,Michael Heidnik,Brother Bishop,United States,male,2.0,,1986–1987,1986.0,1987.0,37.09024,-95.712891
Gary Michael Hilton,Gary,Michael Hilton,,United States,male,2.0,5,2008,2008.0,2008.0,37.09024,-95.712891
Gary Ray Bowles,Gary,Ray Bowles,,United States,male,5.0,6,1994,1994.0,1994.0,37.09024,-95.712891
Genaro Ruiz Camacho Jr.,Genaro,Ruiz Camacho Jr.,Geno Camacho,United States,male,3.0,6+,1988,1988.0,1988.0,37.09024,-95.712891
Genene Anne Jones,Genene,Anne Jones,,United States,female,11.0,11+,1977–1982,1977.0,1982.0,37.09024,-95.712891
Gennady Mikhasevich,Gennady,Mikhasevich,Würger von Witebsk,Sowjet Union,male,33.0,,?–1985,,1985.0,,
George Chapman,George,Chapman,,United Kingdom,male,3.0,,1897–1902,1897.0,1902.0,55.378051,-3.435973
George Joseph Smith,George,Joseph Smith,Mörder der Bräute im Bad,United Kingdom,male,3.0,,1913–1914,1913.0,1914.0,55.378051,-3.435973
Gerald Eugene Stano,Gerald,Eugene Stano,,United States,male,9.0,41,1974–1980,1974.0,1980.0,37.09024,-95.712891
Gerald Parker,Gerald,Parker,The Bedroom Basher,United States,male,5.0,,1970s ,,,37.09024,-95.712891
Gertraud Arzberger,Gertraud,Arzberger,,Austria,female,4.0,5,?–2006,,2006.0,47.516231,14.550072
Gesche Margarethe Gottfried,Gesche,Margarethe Gottfried,Engel von Bremen,Germany,female,15.0,,1813–1827,1813.0,1827.0,51.165691,10.451526
Giancarlo Giudice,Giancarlo,Giudice,Monster von Turin,Italy,male,9.0,,1983–1986,1983.0,1986.0,41.87194,12.56738
Gilberto Antonio Chamba,Gilberto,Antonio Chamba,The Monster of Machala,Ecuador,male,9.0,,1988–2004,1988.0,2004.0,-1.831239,-78.18340599999999
Gilles de Rais,Gilles,de Rais,Blaubart,France,male,80.0,200,1435–1440,1435.0,1440.0,46.227638,2.213749
Gilles Garnier,Gilles,Garnier,"The Hermit of St. Bonnot, The Werewolf of Dole",France,male,4.0,,1572,1572.0,1572.0,46.227638,2.213749
Gordon Frederick Cummins,Gordon,Frederick Cummins,Blackout Ripper,United Kingdom,male,4.0,,1942,1942.0,1942.0,55.378051,-3.435973
Graham Frederick Young,Graham,Frederick Young,The Teacup Poisoner,United Kingdom,male,3.0,,1962–1971,1962.0,1971.0,55.378051,-3.435973
Gregg Francis Braun,Gregg,Francis Braun,,United States,male,5.0,,1989,1989.0,1989.0,37.09024,-95.712891
Gregorio Cardenas Hernandez,Gregorio,Cardenas Hernandez,"The Tacuba Strangler, El Goyo Cárdenas",Mexico,male,4.0,,1942,1942.0,1942.0,23.634501,-102.552784
Gregory Allen Bowen,Gregory,Allen Bowen,,United States,male,3.0,,1985–2001,1985.0,2001.0,37.09024,-95.712891
